"id";"idOriginEntry";"createDate";"content";"idUser";"category";"sentiment";"type";"idOrigin"
36;"783870557234290688";"2016-10-06";"I'm earning #mPLUSRewards in The Weather Channel. https://t.co/pklFHn2dMj";"1015704044";"";"";1;"0"
37;"783579243083096064";"2016-10-05";"I'm earning #mPLUSRewards in The Weather Channel. https://t.co/vANkBoQhv6";"1015704044";"";"";1;"0"
38;"782411158405910528";"2016-10-02";"I'm raising money for Help. Click to Donate:  https://t.co/lTbSD8xljU via @gofundme";"1015704044";"";"";1;"0"
39;"782395553636319233";"2016-10-02";"@Marlins next level baseball this weekend in new Orleans. They one first game with the supportive shirts in memory… https://t.co/RydyRtpR1D";"1015704044";"";"";1;"782340905097461760"
40;"782394256245809152";"2016-10-02";"@nextlevelbb  great job guys";"1015704044";"";"";1;"782389185625882624"
41;"782388233594408960";"2016-10-02";"@nextlevelbb how did you all do";"1015704044";"";"";1;"782377009536204801"
43;"781235282838327297";"2016-09-29";"15 Science-Backed Ways To Fall Asleep Faster! #PJpromo - https://t.co/wJa6JfEHQf https://t.co/0iUxZXghU6";"1015704044";"";"";1;"0"
44;"780278155479318528";"2016-09-26";"Got Constitution? Get your free ACLU pocket Constitution TODAY (while supplies last): https://t.co/ARlN4UgNPF";"1015704044";"";"";1;"0"
45;"779798064802435072";"2016-09-25";"Don't forget to sign up for our PJ Fan Club! Only one more week to win a PJ set! #PJpromo - https://t.co/NqGUb9cuGR https://t.co/ngvwIxaTXB";"1015704044";"";"";1;"0"
46;"779565961309515776";"2016-09-24";"Enter to Win: FREE Pair of Harley Davidson Slippers https://t.co/VmbwUxUipu";"1015704044";"";"";1;"0"
47;"779502324905631744";"2016-09-24";"I'm raising money for Helping hand medical. Click to Donate:  https://t.co/iG9oKDmrMC";"1015704044";"";"";1;"0"
48;"778924690282844161";"2016-09-22";"NYC Pit Bull Group: If Montreal Bans Pit Bulls, Then We Ban Montreal! https://t.co/fUYJVC7qLd via @Change";"1015704044";"";"";1;"0"
49;"778466398406180864";"2016-09-21";"Attorney purposes  https://t.co/awpYwFIidS";"1015704044";"";"";1;"0"
50;"775777923890544641";"2016-09-14";"I'm raising money for LAST HOPE . Click to Donate:  https://t.co/5jk4Fvohrh via @gofundme";"1015704044";"";"";1;"0"
51;"775547474035474432";"2016-09-13";"I'm raising money for LAST HOPE . Click to Donate:  https://t.co/mLgmGrKi4O via @gofundme";"1015704044";"";"";1;"0"
52;"772813551891251200";"2016-09-05";"I'm earning #mPLUSRewards in The Weather Channel. https://t.co/xjhcyVdPtb";"1015704044";"";"";1;"0"
53;"771616766749319172";"2016-09-02";"I'm earning #mPLUSRewards in The Weather Channel. https://t.co/gU7KapQpsU";"1015704044";"";"";1;"0"
54;"771333985964331008";"2016-09-01";"I'm raising money for Domestic violence survivor . Click to Donate:  https://t.co/QAdnpbjoA1 via @gofundme";"1015704044";"";"";1;"0"
55;"771109474039898112";"2016-09-01";"I'm raising money for Domestic violence survivor . Click to Donate:  https://t.co/bg6kiYl94k via @gofundme";"1015704044";"";"";1;"0"
56;"769919879206014976";"2016-08-28";"Legal fees https://t.co/ONO5sY1R3Q";"1015704044";"";"";1;"0"
57;"768343344292519936";"2016-08-24";"I'm raising money for Legal fees. Click to Donate:  https://t.co/fZSXznqG0D via @gofundme";"1015704044";"";"";1;"0"
58;"767840525231722500";"2016-08-23";"Legal fees https://t.co/5AYJsLqAVJ";"1015704044";"";"";1;"0"
59;"766712010662871041";"2016-08-20";"I just got a FREE trial bag of Petcurean premium pet food, I think your furry friend would love one too! https://t.co/SUOASa22Nh";"1015704044";"";"";1;"0"
60;"766307131356286976";"2016-08-18";"I just claimed a free box of products from PINCHme! Sign up here to claim yours now too https://t.co/GdI6Jaltw5";"1015704044";"";"";1;"0"
61;"762339932849446912";"2016-08-08";"Enter for your chance to win McDonald's for a Year! https://t.co/eS1T78OKlL";"1015704044";"";"";1;"0"
62;"753018232190148609";"2016-07-13";"I'm raising money for Emergency Help. Click to Donate:  https://t.co/eJsYyNJiC2 via @gofundme";"1015704044";"";"";1;"0"
63;"753002905309937668";"2016-07-13";"Become Lucktastic's first millionaire! Winner Guaranteed in 2016. Enter now: https://t.co/dVuw0qC3wm";"1015704044";"";"";1;"0"
64;"752583188384452608";"2016-07-12";"The Keyboard Waffle Iron Giveaway https://t.co/jIhTTlJq5Y via @webdesignledger";"1015704044";"";"";1;"0"
65;"752264318142574592";"2016-07-11";"Schoola: Save on kids clothes & 40% funds school programs. $20 free if you use my link. Awesome, right?! https://t.co/qMW59V4bwD";"1015704044";"";"";1;"0"
107;"778305213845213184";"2016-09-21";"RT @indiatimes: #AsaramBapu and his devotees created a ruckus on a @jetairways flight!  #Shame

https://t.co/1ZJqvJvGLV";"103209236";"";"";1;"0"
108;"778304990746021888";"2016-09-21";"RT @indiatvnews: Delayed flight, no queues, chants: Asaram Bapu and his devotees wreak havoc for Jet Airways passengers 
https://t.co/YBMCu…";"103209236";"";"";1;"0"
110;"776664426850033664";"2016-09-16";"RT @TrollKejri: Kumar Vishwash reaction after seeing Manish sisodia Finland Pics https://t.co/MU6EQ4MiUR";"103209236";"";"";1;"0"
113;"769348917465055232";"2016-08-27";"Everyone is fighting for the right to enter in temple & Dargah. But no one talks about the people who beg outside";"103209236";"";"";1;"0"
114;"769347413966336001";"2016-08-27";"RT @TimesNow: More sophisticated bill in future for paternity leave: Union Minister Maneka Gandhi https://t.co/e1kXDg9QHi";"103209236";"";"";1;"0"
115;"768650189330604032";"2016-08-25";"RT @TrollKejri: Must Watch Speech of Our Goa CM candidate Sh Rajdeep pairdesai https://t.co/GTyWmhJJfK";"103209236";"";"";1;"0"
116;"767690114717724675";"2016-08-22";"@Snapdeal_Help From last three days you are just checking.";"103209236";"";"";1;"767687759129550848"
